Welcome to the profile statistics browser.
profile.txt% profile.txt% Tue Sep 29 15:08:21 2020    profile.txt

         4711831 function calls (4499771 primitive calls) in 36.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.001    0.000    0.451    0.004 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      112    0.001    0.000    0.450    0.004 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/module.py:212(<listcomp>)
373354/371781    0.440    0.000    0.444    0.000 {built-in method builtins.len}
      149    0.001    0.000    0.434    0.003 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:668(__str__)
      149    0.000    0.000    0.434    0.003 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:661(descr)
1154/1032    0.008    0.000    0.429    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
43974/22975    0.098    0.000    0.429    0.000 {method 'format' of 'str' objects}
       55    0.000    0.000    0.406    0.007 /usr/local/lib64/python3.8/site-packages/numba/core/postproc.py:41(usedefs)
       55    0.035    0.001    0.406    0.007 /usr/local/lib64/python3.8/site-packages/numba/core/analysis.py:23(compute_use_defs)
       20    0.001    0.000    0.405    0.020 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:654(descr_body)
      373    0.003    0.000    0.404    0.001 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:797(descr)
      373    0.010    0.000    0.398    0.001 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:799(<listcomp>)
22940/9060    0.047    0.000    0.393    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/_utils.py:44(__str__)
3690/3675    0.051    0.000    0.383    0.000 {built-in method builtins.__build_class__}
    17424    0.377    0.000    0.377    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
     7420    0.068    0.000    0.359    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:219(_to_string)
   117/93    0.001    0.000    0.345    0.004 <frozen importlib._bootstrap_external>:1099(create_module)
   117/93    0.153    0.001    0.344    0.004 {built-in method _imp.create_dynamic}
    58248    0.339    0.000    0.339    0.000 {built-in method from_numpy}
     1094    0.006    0.000    0.322    0.000 /usr/lib64/python3.8/re.py:289(_compile)
    17814    0.321    0.000    0.321    0.000 /home/alkis/Code/pytorch_kge/evaluation.py:26(candidates)
      194    0.001    0.000    0.313    0.002 /usr/lib64/python3.8/re.py:250(compile)
   107/83    0.001    0.000    0.313    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:1163(__call__)
   107/83    0.001    0.000    0.311    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:1192(wrapper)
      171    0.002    0.000    0.311    0.002 /usr/lib64/python3.8/sre_compile.py:759(compile)
        2    0.000    0.000    0.308    0.154 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:3234(_call_aside)
        1    0.000    0.000    0.308    0.308 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:3251(_initialize_master_working_set)
    21112    0.292    0.000    0.292    0.000 /home/alkis/Code/pytorch_kge/graph5.py:51(__call__)
        1    0.000    0.000    0.286    0.286 /usr/local/lib64/python3.8/site-packages/pandas/core/api.py:3(<module>)
      897    0.006    0.000    0.278    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/context.py:197(_call_incref_decref)
     1190    0.019    0.000    0.275    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     1452    0.024    0.000    0.273    0.000 /home/alkis/Code/pytorch_kge/train.py:37(<listcomp>)
       22    0.001    0.000    0.260    0.012 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:611(add_entry)
     3204    0.095    0.000    0.253    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
 2783/897    0.024    0.000    0.252    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/context.py:180(get_meminfos)
      286    0.002    0.000    0.249    0.001 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2037(find_on_path)
     7499    0.028    0.000    0.249    0.000 /usr/local/lib64/python3.8/site-packages/torch/tensor.py:19(wrapped)
     4806    0.021    0.000    0.247    0.000 <__array_function__ internals>:2(expand_dims)
        6    0.000    0.000    0.244    0.041 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:217(finalize)
        5    0.000    0.000    0.242    0.048 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:308(__init__)
